"campaign_statistics_strings_localised_description_agents_assassinated"	"Всього убитих агентів:"	"true"
"campaign_statistics_strings_localised_description_agents_assassinated_champions"	"Убито чемпіонів:"	"true"
"campaign_statistics_strings_localised_description_agents_assassinated_dignitaries"	"Убито жреців:"	"true"
"campaign_statistics_strings_localised_description_agents_assassinated_spies"	"Убито шпигунів:"	"true"
"campaign_statistics_strings_localised_description_agents_failed_actions"	"Всього невдалих дій:"	"true"
"campaign_statistics_strings_localised_description_agents_failed_actions_champions"	"Невдалі дії чемпіонів:"	"true"
"campaign_statistics_strings_localised_description_agents_failed_actions_dignitaries"	"Невдалі дії жреців:"	"true"
"campaign_statistics_strings_localised_description_agents_failed_actions_spies"	"Невдалі дії шпигунів:"	"true"
"campaign_statistics_strings_localised_description_agents_lost"	"Всього втрачено агентів:"	"true"
"campaign_statistics_strings_localised_description_agents_lost_champions"	"Втрачено чемпіонів:"	"true"
"campaign_statistics_strings_localised_description_agents_lost_dignitaries"	"Втрачено жреців:"	"true"
"campaign_statistics_strings_localised_description_agents_lost_spies"	"Втрачено шпигунів:"	"true"
"campaign_statistics_strings_localised_description_agents_recruited"	"Всього завербовано агентів:"	"true"
"campaign_statistics_strings_localised_description_agents_recruited_champions"	"Завербовано чемпіонів:"	"true"
"campaign_statistics_strings_localised_description_agents_recruited_dignitaries"	"Завербовано жреців:"	"true"
"campaign_statistics_strings_localised_description_agents_recruited_spies"	"Завербовано шпигунів:"	"true"
"campaign_statistics_strings_localised_description_agents_successful_actions"	"Всього успішних дій:"	"true"
"campaign_statistics_strings_localised_description_agents_successful_actions_champions"	"Успішні дії чемпіонів:"	"true"
"campaign_statistics_strings_localised_description_agents_successful_actions_dignitaries"	"Успішні дії жреців:"	"true"
"campaign_statistics_strings_localised_description_agents_successful_actions_spies"	"Успішні дії шпигунів:"	"true"
"campaign_statistics_strings_localised_description_agents_total_actions"	"Всього дій агентів:"	"true"
"campaign_statistics_strings_localised_description_current_date"	"Поточна дата:"	"true"
"campaign_statistics_strings_localised_description_current_turn"	"Поточний хід:"	"true"
"campaign_statistics_strings_localised_description_diplomacy_allies_current"	"Поточні союзники:"	"true"
"campaign_statistics_strings_localised_description_diplomacy_allies_max"	"Найбільше союзників:"	"true"
