"unit_description_short_texts_text_at_cel_celtic_axe_warriors_short"	"In the hands of skilled men, axes are terrifying weapons."	"True"
"unit_description_short_texts_text_att_alan_alani_cavalry_raiders_short"	"For those always on the move, raiding is survival."	"True"
"unit_description_short_texts_text_att_alan_alani_cavalry_warriors_short"	"Eating, sleeping, killing, dying. They are never more at home than on a horse."	"True"
"unit_description_short_texts_text_att_alan_alani_chosen_raiders_short"	"What can be taken, sustains."	"True"
"unit_description_short_texts_text_att_alan_alani_horse_archers_short"	"These men ride and shoot as if they were born on horseback."	"True"
"unit_description_short_texts_text_att_alan_alani_mounted_bows_short"	"To fire a bow from horseback requires almost unnatural skill."	"True"
"unit_description_short_texts_text_att_alan_alani_mounted_sword_raiders_short"	"Enemies run amok when these horsemen take to the field."	"True"
"unit_description_short_texts_text_att_alan_alani_nobles_general_short"	"Having learned to survive on the harsh steppes, these men will thrive at any cost."	"True"
"unit_description_short_texts_text_att_alan_alani_swordsmen_short"	"Once drawn, their blades must taste enemy flesh."	"True"
"unit_description_short_texts_text_att_alan_alani_warriors_short"	"These men know nothing but the tribe, and how to defend it."	"True"
"unit_description_short_texts_text_att_alan_anti_cav_light_tier_3_short"	"The Alani way of life, carried on their broad shoulders."	"True"
"unit_description_short_texts_text_att_alan_anti_cav_light_tier_4_short"	"Generations of experience makes them the world's best horsemen."	"True"
"unit_description_short_texts_text_att_alan_cataphract_archers_short"	"These heavily-armoured, mounted archers can fire from the saddle at pace."	"True"
"unit_description_short_texts_text_att_alan_elite_sarmatian_cataphracts_short"	"Unlike other cataphracts these men carry bows, allowing them to attack from afar before the charge."	"True"
"unit_description_short_texts_text_att_alan_grey_hair_short"	"Age and wisdom are more powerful than youthful exuberance."	"True"
"unit_description_short_texts_text_att_alan_sarmatian_band_short"	"All must fight for survival, no matter his place."	"True"
"unit_description_short_texts_text_att_alan_sarmatian_cataphracts_infantry_destroyer_tier_5_short"	"Men fall before them like wheat before the scythe."	"True"
"unit_description_short_texts_text_att_alan_sarmatian_cataphracts_short"	"A hail of arrows to announce your destruction."	"True"
"unit_description_short_texts_text_att_alan_sarmatian_mounted_skirmishers_short"	"These mounted skirmishers can reach key areas of the battlefield quickly."	"True"
"unit_description_short_texts_text_att_alan_sarmatian_shock_tier_1_short"	"Like lightning, these mounted troops arrive, devastate, and then leave just as swiftly."	"True"
"unit_description_short_texts_text_att_alan_sarmatian_shock_tier_4_short"	"The best of the best, armed and armoured for maximum impact."	"True"
"unit_description_short_texts_text_att_alan_tank_short"	"The thundering of hooves is the sound of Death himself."	"True"
"unit_description_short_texts_text_att_cel_black_blades"	"Tempered from the forge, resilient blades for the most resilient of men."	"True"
"unit_description_short_texts_text_att_cel_caledonian_axemen_short"	"An axe may be crude, but it does the job admirably."	"True"
"unit_description_short_texts_text_att_cel_cateran_brigade_short"	"The rugged terrain of their homeland has shaped these warriors."	"True"
"unit_description_short_texts_text_att_cel_celtic_archers_short"	"The skills of the hunt - hiding and a sudden strike - are the skills of a warrior."	"True"
"unit_description_short_texts_text_att_cel_celtic_axe_band_short"	"One axe can topple a tree. Many can level the forest."	"True"
"unit_description_short_texts_text_att_cel_celtic_band_short"	"There is a deep savagery in these warrior's hearts; a delight in battle for its own sake."	"True"
"unit_description_short_texts_text_att_cel_celtic_berserkers_short"	""Got my axe, got my mushrooms... AAAARRGGGHHH!!!!!""	"True"
